device_id,country,first_game_ver,game_ver_num,network_name,demographic,play_time,days_since_release
0763042108D8ED8062AD9A9233D,HK,0.11.0,110,network A,unknown,19.66392636,6
0763042108D8ED8062AD9A9233D,HK,0.11.0,110,network A,unknown,19.66392636,5
0763042108D8ED8062AD9A9233D,HK,0.11.0,110,network A,unknown,19.66392636,4
0763042108D8ED8062AD9A9233D,HK,0.11.0,110,network A,unknown,19.66392636,3
0763044108D8EFD2DF2838F8A48,HK,0.11.0,110,network A,F 18-24,77.09299579,7
0763044108D8EFD2DF2838F8A48,HK,0.11.0,110,network A,F 18-24,56.00598182,6
0763047308D8EE648FF7DDAC234,HK,0.11.0,110,network A,unknown,90.72855118,7
0763047308D8EE648FF7DDAC234,HK,0.11.0,110,network A,unknown,90.72855118,6
0763047308D8EE648FF7DDAC234,HK,0.11.0,110,network A,unknown,90.72855118,5
076304B208D8EEBEA69F70BA353,HK,0.11.0,110,network C,F 25-34,81.27115109,7
076304B208D8EEBEA69F70BA353,HK,0.11.0,110,network C,F 25-34,81.27115109,6
076304B208D8EEBEA69F70BA353,HK,0.11.0,110,network C,F 25-34,78.81414848,5
076304B708D8EF00AF217D363B5,HK,0.11.0,110,network A,unknown,104.6502269,7
